ip,weight,url
104.21.94.234,0,rve-a.com
172.67.217.23,0,ts419.com
52.199.184.217,0,tg1005.com
104.21.26.144,0,www.trust-toto.com
172.67.216.196,20,gongj7.com
172.67.129.48,0,podo12.com
172.67.137.82,4,haja26.com
104.21.61.245,6,hjtime42.com
104.21.70.222,0,tototimes2.com
172.67.134.248,0,l28.leadership14.net
172.64.172.24,1,linkpan22.com
104.244.42.1,0,twitter.com
104.21.6.20,6,linkmoum.site
216.58.192.68,0,www.google.com
149.154.167.99,0,t.me
222.231.28.121,0,bubyshop.com
172.67.203.153,0,www.totoinfo1.com
172.67.169.142,20,mailssa7.com
54.248.67.96,0,modo11.com
104.21.16.242,0,ts419.com
172.67.69.182,14,marumaru.cloud
54.150.157.243,0,betmovekr.com
107.154.131.98,0,wbwb7.com
18.177.0.229,0,bbet2020.com
172.67.151.209,0,afm88.com
13.115.87.89,0,tlo-777.com
104.21.14.108,0,neon888.com
182.23.208.171,0,av-77.com
13.113.59.145,0,www.vap-we.com
172.67.132.213,0,bcgg8120.com
104.21.75.218,0,mst-777.com
67.199.248.10,0,bit.ly
52.199.151.168,0,kor-9630.com
104.21.83.159,2,miso92.com
172.67.148.131,1,miso96.com
183.111.182.222,0,xn--6i4bu7h10l.com
172.67.202.153,2,miso86.com
172.67.204.62,2,miso95.com
172.67.187.54,20,mulgobbalgo10.com
172.67.216.210,0,bettingcure.com
104.21.69.162,0,truemoa3.com
172.67.147.94,1,nambam12.com
172.67.128.37,0,yahun05.com
172.67.204.69,1,odalmay.com
184.168.131.241,0,uskooo.com
104.21.40.207,19,opanapa7.com
104.21.13.179,20,onljura2.com
172.67.201.179,0,nma74.com
172.67.148.240,0,ygd45.com
172.67.135.12,20,protoon51.com
107.154.131.77,0,nb-rv.com
172.67.187.246,0,xn--o79a711bszdtua70d.com
104.21.47.240,0,awh29.com
172.67.145.4,0,mana.forward-links2.com
78.142.29.87,0,q85.iqooqootv.org
172.67.148.205,3,raintv.xyz
104.21.26.18,0,linkmoum.live
104.21.14.204,0,jusomoya1.com
172.67.173.145,7,sektorrent11.org
172.67.156.70,0,sdj43.com
182.16.55.155,0,coba123.com
104.21.17.24,0,ghf1zwl.nlvkj03asnfq89i46t786g7atyt0gyw1ui.xyz
104.18.13.216,0,妇邯.com
172.67.140.101,0,www.btdd6.com
104.26.3.247,0,to761.com
104.21.69.213,2,suremen.com
216.239.38.21,0,sport-core.net
104.21.85.219,0,www.free-tv4.xyz
172.67.155.250,5,tkr024.com
13.33.68.13,0,spin559.com
13.56.205.103,0,il119.com
104.244.42.193,0,twitter.com
104.21.91.249,5,tkr14.com
172.67.201.87,3,tomin9.club
172.67.181.182,0,linkk.club
172.67.203.57,11,toonflix1.com
172.67.72.3,0,toonsarang.buzz
104.21.65.191,1,torrentgram16.com
104.21.53.140,0,seda9.bet
172.67.139.219,0,torrenthaja13.com
172.67.176.204,0,torrenthaja26.com
172.67.129.192,0,torrenthaja4.com
104.21.67.39,0,torrenthaja.com
104.21.5.85,0,torrenthaja5.com
45.152.218.202,0,torrentj32.com
172.67.168.141,2,torrentlee13.me
103.31.13.244,0,win-yamato.com
172.67.209.182,1,torrentplay10.com
172.67.176.49,1,torrentview32.com
172.67.184.40,2,torrentwiz23.me
43.255.252.150,0,filemong.com
104.21.7.187,21,tvland23.com
172.67.174.139,0,awh29.com
103.225.153.210,0,joun09.com
172.67.195.95,3,tvmin6.club
207.244.239.235,3,us2.thetorrent.net
104.21.64.186,7,www.dayisoo2.me
172.67.155.241,0,www.10via.xyz
172.67.140.40,0,www.ttking06.me
172.67.147.181,0,uqa56.com
172.67.180.196,0,www.totobank.me
104.21.45.100,0,ww-789.com
104.21.22.137,0,www.casa13.me
104.21.33.75,14,www.gumeongtv1.xyz
172.67.171.112,13,www.gutv18.xyz
172.67.9.202,0,xn--hy1bs7hc5buzr.com
18.180.108.207,0,bmtgr-0.com
172.67.205.31,0,curekr.com
104.18.23.64,0,xn--om2bk9fm4f1uf.com
104.21.57.245,0,dn-ao.com
172.67.150.64,0,bis7733.com
107.154.77.88,0,nb-rd.com
103.96.3.76,0,sb1-5.com
210.89.168.66,0,cafe.naver.com
104.21.91.69,10,www.jinyi8.me
172.67.195.64,0,kring24.com
172.67.173.78,0,www.wkb66.com
104.21.94.49,0,sgh56.com
104.21.78.138,0,bmc-11.com
185.189.161.234,0,www.link-ch.com
104.21.52.5,9,www.miindo8.me
222.239.176.253,1,www.qq.co.kr
222.239.176.246,0,pandahp.kr
104.21.49.200,13,www.race57.xyz
172.67.190.187,13,www.redgochu16.xyz
104.21.22.141,0,curekr.com
107.154.131.88,0,nb-rd.com
210.89.168.34,0,cafe.naver.com
104.21.24.154,10,www.sexgate3.me
104.21.61.100,9,www.sexnori10.me
104.21.12.186,0,kring24.com
172.67.219.164,0,sgh56.com
104.21.81.221,10,www.sexzoa8.me
104.21.21.155,0,www.yyx557.com
104.21.65.246,7,www.sorabam4.me
172.67.205.27,0,www.casa13.me
104.21.49.184,0,www.lovedolles.com
104.21.70.226,11,www.ttking06.me
104.21.22.75,13,www.tomatotoon22.xyz
104.22.16.172,0,xn--hy1bs7hc5buzr.com
172.67.152.28,0,dn-ao.com
104.21.96.16,0,bis7733.com
104.21.56.210,0,www.10via.xyz
104.21.91.217,0,www.totobank.me
172.67.222.103,3,www.ydbig4.com
104.21.32.70,0,honeyland.net
104.26.14.96,0,www.honeyop6.com
104.21.76.185,6,www.zoazoa1.xyz
104.21.28.217,0,uqa56.com
52.68.77.151,0,gd-69.com
104.21.235.41,4,yabug18.net
104.21.11.11,0,mr-week.com
172.67.200.184,19,yadongtip10.com
104.21.72.186,0,uuzoa16.com
172.67.147.212,8,yadongpan15.org
104.21.7.200,0,sdj43.com
172.67.70.250,0,to761.com
104.21.0.173,0,yahun05.com
104.21.70.76,0,yawang01.com
163.44.185.252,1,yaya26.com
104.17.6.168,0,gb-best.com
